ItemA,ItemB,Count,Support,Confidence(A->B),Confidence(B->A),Support(B),Lift
Butter,Milk,130,0.13,0.37900874635568516,0.3601108033240997,0.361,1.0498857239769672
Cereal,Juice,138,0.138,0.38227146814404434,0.36507936507936506,0.378,1.0113001802752495
Cereal,Eggs,134,0.134,0.37119113573407203,0.3641304347826087,0.368,1.008671564494761
Juice,Milk,137,0.137,0.36243386243386244,0.37950138504155123,0.361,1.003971918099342
Butter,Juice,130,0.13,0.37900874635568516,0.3439153439153439,0.378,1.0026686411526062
Bread,Cereal,138,0.138,0.359375,0.38227146814404434,0.361,0.9954986149584488
Cheese,Eggs,129,0.129,0.36235955056179775,0.35054347826086957,0.368,0.9846726917440156
Cheese,Milk,126,0.126,0.3539325842696629,0.3490304709141274,0.361,0.9804226711070995
Bread,Eggs,135,0.135,0.3515625,0.36684782608695654,0.368,0.9553328804347826
Cereal,Cheese,122,0.122,0.3379501385041551,0.34269662921348315,0.356,0.9492981418656044
Bread,Butter,124,0.124,0.3229166666666667,0.36151603498542273,0.343,0.9414480077745384
Cheese,Juice,126,0.126,0.3539325842696629,0.3333333333333333,0.378,0.9363295880149812
Butter,Cheese,112,0.112,0.32653061224489793,0.3146067415730337,0.356,0.9172208209126347
Butter,Cereal,113,0.113,0.3294460641399417,0.31301939058171746,0.361,0.9125929754569023
Eggs,Juice,126,0.126,0.3423913043478261,0.3333333333333333,0.378,0.9057971014492754
Butter,Eggs,114,0.114,0.3323615160349854,0.30978260869565216,0.368,0.9031562935733299
Bread,Cheese,123,0.123,0.3203125,0.3455056179775281,0.356,0.8997542134831461
Eggs,Milk,118,0.118,0.32065217391304346,0.3268698060941828,0.361,0.8882331687341924
Bread,Milk,123,0.123,0.3203125,0.3407202216066482,0.361,0.8872922437673131
Cereal,Milk,109,0.109,0.30193905817174516,0.30193905817174516,0.361,0.8363962830242249
Bread,Juice,120,0.12,0.3125,0.31746031746031744,0.378,0.8267195767195767
